"COD_COUNTRY","COUNTRY_NAME_IT"
"212","Monaco"
"219","Croazia"
"226","Romania"
"238","Danimarca"
"246","Lituania"
"250","Russia"
"255","Ucraina"
"348","Isole Vergini britanniche (UK)"
"365","Anguilla"
"376","Turks e Caicos (UK)"
"402","Bhutan"
"414","Birmania"
"441","Giappone"
"454","Hong Kong"
"472","Maldive"
"510","Indonesia"
"546","Nuova Caledonia (FR)"
"608","Senegal"
"610","Mali"
"611","Guinea"
"623","Repubblica Centrafricana"
"642","Burundi"
"712","Costa Rica"
"738","Guyana"
"505","Australia"
"232","Austria"
"248","Estonia"
"266","Gibilterra (UK)"
"274","Islanda"
"284","Bulgaria"
"289","Abcasia"
"330","Porto Rico"
"354","Montserrat (UK)"
"356","Saint Kitts e Nevis"
"370","Repubblica Dominicana"
"405","India"
"419","Kuwait"
"420","Arabia Saudita"
"438","Turkmenistan"
"440","Giappone"
"460","Cina"
"539","Tonga"
"541","Vanuatu"
"607","Gambia"
"628","Gabon"
"641","Uganda"
"652","Botswana"
"654","Comore"
"659","Sudan del Sud"
"706","El Salvador"
"714","Panama"
"736","Bolivia"
"744","Paraguay"
"748","Uruguay"
"213","Andorra"
"262","Germania"
"270","Lussemburgo"
"276","Albania"
"282","Georgia"
"288","Isole Fær Øer (DK)"
"290","Groenlandia (DK)"
"292","San Marino"
"346","Isole Cayman (UK)"
"400","Azerbaigian"
"416","Giordania"
"418","Iraq"
"426","Bahrein"
"436","Tagikistan"
"470","Bangladesh"
"514","Timor Est"
"528","Brunei Darussalam"
"537","Papua Nuova Guinea"
"622","Ciad"
"632","Guinea-Bissau"
"648","Zimbabwe"
"657","Eritrea"
"724","Brasile"
"742","Guyana francese (FR)"
"995","Territorio britannico dell'Oceano Indiano"
"216","Ungheria"
"220","Serbia"
"231","Slovacchia"
"244","Finlandia"
"247","Lettonia"
"268","Portogallo"
"280","Cipro"
"344","Antigua e Barbuda"
"358","Santa Lucia"
"362","Antille Olandesi (NL)"
"366","Dominica"
"368","Cuba"
"410","Pakistan"
"429","Nepal"
"430","Emirati Arabi Uniti (Abu Dhabi)"
"431","Emirati Arabi Uniti (Dubai)"
"432","Iran"
"434","Uzbekistan"
"450","Corea del Sud"
"452","Vietnam"
"467","Corea del Nord"
"502","Malesia"
"536","Nauru"
"545","Kiribati"
"603","Algeria"
"616","Benin"
"640","Tanzania"
"647","Réunion (FR)"
"650","Malawi"
"658","Isola di Sant'Elena, Ascension e Tristan de Cugna"
"732","Colombia"
"740","Ecuador"
"746","Suriname"
"750","Isole Falkland (UK)"
"234","Gran Bretagna"
"425","Israele"
"311","Stati Uniti d'America"
"204","Paesi Bassi"
"218","Bosnia ed Erzegovina"
"221","Kosovo"
"230","Repubblica Ceca"
"240","Svezia"
"242","Norvegia"
"286","Turchia"
"293","Slovenia"
"364","Bahamas"
"372","Haiti"
"404","India"
"421","Yemen"
"424","Emirati Arabi Uniti"
"515","Filippine"
"520","Thailandia"
"542","Figi"
"547","Polinesia Francese (FR)"
"551","Isole Marshall"
"553","Tuvalu"
"555","Niue"
"604","Marocco"
"618","Liberia"
"619","Sierra Leone"
"620","Ghana"
"621","Nigeria"
"626","São Tomé e Príncipe"
"634","Sudan"
"638","Gibuti"
"645","Zambia"
"646","Madagascar"
"655","Sudafrica"
"260","Polonia"
"278","Malta"
"297","Montenegro"
"312","Stati Uniti d'America"
"313","Stati Uniti d'America"
"316","Stati Uniti d'America"
"334","Messico"
"350","Bermuda"
"374","Trinidad e Tobago"
"412","Afghanistan"
"413","Sri Lanka"
"417","Siria"
"422","Oman"
"427","Qatar"
"428","Mongolia"
"544","Samoa Americane (USA)"
"548","Isole Cook (NZ)"
"609","Mauritania"
"614","Niger"
"635","Ruanda"
"636","Etiopia"
"722","Argentina"
"202","Grecia"
"206","Belgio"
"208","Francia"
"214","Spagna"
"225","Città del Vaticano"
"228","Svizzera"
"259","Moldova"
"272","Irlanda"
"283","Armenia"
"295","Liechtenstein"
"342","Barbados"
"401","Kazakistan"
"415","Libano"
"437","Kirghizistan"
"455","Macao (CN)"
"530","Nuova Zelanda"
"540","Isole Salomone"
"549","Samoa"
"550","Stati Federati di Micronesia"
"554","Tokelau"
"605","Tunisia"
"615","Togo"
"617","Mauritius"
"625","Capo Verde"
"627","Guinea Equatoriale"
"629","Repubblica del Congo"
"630","Repubblica Democratica del Congo"
"637","Somalia"
"639","Kenya"
"649","Namibia"
"651","Lesotho"
"702","Belize"
"704","Guatemala"
"708","Honduras"
"710","Nicaragua"
"734","Venezuela"
"338","Giamaica"
"310","Stati Uniti d'America"
"222","Italia"
"235","Gran Bretagna"
"257","Bielorussia"
"294","Macedonia"
"302","Canada"
"308","Saint-Pierre e Miquelon (FR)"
"352","Grenada"
"360","Saint Vincent e Grenadine"
"363","Aruba (Paesi Bassi)"
"456","Cambogia"
"457","Laos"
"466","Taiwan"
"525","Singapore"
"534","Isole Marianne Settentrionali (USA)"
"543","Wallis e Futuna (FR)"
"552","Palau"
"602","Egitto"
"606","Libia"
"612","Costa d'Avorio"
"613","Burkina Faso"
"624","Camerun"
"631","Angola"
"633","Seychelles"
"643","Mozambico"
"653","Swaziland"
"716","Perù"
"730","Cile"
